5.10	0.20	1.00
4.90	0.20	1.00
4.70	0.20	1.00
4.60	0.20	1.00
5.00	0.20	1.00
5.40	0.40	1.00
4.60	0.30	1.00
5.00	0.20	1.00
4.40	0.20	1.00
4.90	0.10	1.00
5.40	0.20	1.00
4.80	0.20	1.00
4.80	0.10	1.00
4.30	0.10	1.00
5.80	0.20	1.00
5.70	0.40	1.00
5.40	0.40	1.00
5.10	0.30	1.00
5.70	0.30	1.00
5.10	0.30	1.00
5.40	0.20	1.00
5.10	0.40	1.00
4.60	0.20	1.00
5.10	0.50	1.00
4.80	0.20	1.00
5.00	0.20	1.00
5.00	0.40	1.00
5.20	0.20	1.00
5.20	0.20	1.00
4.70	0.20	1.00
4.80	0.20	1.00
5.40	0.40	1.00
5.20	0.10	1.00
5.50	0.20	1.00
4.90	0.10	1.00
5.00	0.20	1.00
5.50	0.20	1.00
4.90	0.10	1.00
4.40	0.20	1.00
5.10	0.20	1.00
5.00	0.30	1.00
4.50	0.30	1.00
4.40	0.20	1.00
5.00	0.60	1.00
5.10	0.40	1.00
4.80	0.30	1.00
5.10	0.20	1.00
4.60	0.20	1.00
5.30	0.20	1.00
5.00	0.20	1.00
7.00	1.40	-1.00
6.40	1.50	-1.00
6.90	1.50	-1.00
5.50	1.30	-1.00
6.50	1.50	-1.00
5.70	1.30	-1.00
6.30	1.60	-1.00
4.90	1.00	-1.00
6.60	1.30	-1.00
5.20	1.40	-1.00
5.00	1.00	-1.00
5.90	1.50	-1.00
6.00	1.00	-1.00
6.10	1.40	-1.00
5.60	1.30	-1.00
6.70	1.40	-1.00
5.60	1.50	-1.00
5.80	1.00	-1.00
6.20	1.50	-1.00
5.60	1.10	-1.00
5.90	1.80	-1.00
6.10	1.30	-1.00
6.30	1.50	-1.00
6.10	1.20	-1.00
6.40	1.30	-1.00
6.60	1.40	-1.00
6.80	1.40	-1.00
6.70	1.70	-1.00
6.00	1.50	-1.00
5.70	1.00	-1.00
5.50	1.10	-1.00
5.50	1.00	-1.00
5.80	1.20	-1.00
6.00	1.60	-1.00
5.40	1.50	-1.00
6.00	1.60	-1.00
6.70	1.50	-1.00
6.30	1.30	-1.00
5.60	1.30	-1.00
5.50	1.30	-1.00
5.50	1.20	-1.00
6.10	1.40	-1.00
5.80	1.20	-1.00
5.00	1.00	-1.00
5.60	1.30	-1.00
5.70	1.20	-1.00
5.70	1.30	-1.00
6.20	1.30	-1.00
5.10	1.10	-1.00
5.70	1.30	-1.00
